CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
00.000.000/0001-91;2024-01-01;3;135645;BCO BRASIL S.A.;Ações Ordinárias;;;BBAS3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2006-05-31;;Novo Mercado;1977-07-20;
00.000.208/0001-00;2024-01-01;2;137122;BRB BANCO DE BRASILIA S.A.;Ações Ordinárias;;;BSLI3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2010-01-01;;Básico;1993-09-24;
00.000.208/0001-00;2024-01-01;2;137122;BRB BANCO DE BRASILIA S.A.;Ações Preferenciais;;;BSLI4;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2010-01-01;;Básico;1993-09-24;
00.001.180/0001-26;2024-01-01;2;142280;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ações Ordinárias;;;ELET3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1971-09-07;;Nível 1 de Governança Corporativa;1971-09-07;
00.001.180/0001-26;2024-01-01;2;142280;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Debêntures;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2024-10-17;;Básico;2024-09-15;
00.001.180/0001-26;2024-01-01;2;142280;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ações Preferenciais;PNB;Preferencial Classe B;ELET6;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2006-09-29;;Nível 1 de Governança Corporativa;1971-09-07;
00.001.180/0001-26;2024-01-01;2;142280;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ações Preferenciais;PNA;Preferencial Classe A;ELET5;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2006-09-29;;Nível 1 de Governança Corporativa;1971-09-07;
00.070.698/0001-11;2024-01-01;4;135798;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Ordinárias;;;CEBR3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.070.698/0001-11;2024-01-01;4;135798;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Preferenciais;PNB;Preferencial Classe B;CEBR6;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.070.698/0001-11;2024-01-01;4;135798;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Preferenciais;PNA;Preferencial Classe A;CEBR5;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.080.671/0001-00;2024-01-01;1;137800;CARAMURU ALIMENTOS S.A.;Ações Ordinárias;;;;;;;;;;;;
00.185.475/0001-08;2024-01-01;1;135943;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Ações Ordinárias;;;NÃO HÁ;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1998-06-17;2012-12-27;Básico;1998-06-17;2012-12-27
00.194.724/0001-13;2024-01-01;2;142892;Auren Operações S.A.;Ações Ordinárias;;;AESO3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2021-12-03;;Básico;2021-07-23;
00.242.184/0001-04;2024-01-01;1;138613;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Ações Ordinárias;;;ARML3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2021-07-28;;Novo Mercado;2021-07-27;
00.242.184/0001-04;2024-01-01;1;138613;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Debêntures;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2021-05-06;;Básico;2021-04-28;
00.242.184/0001-04;2024-01-01;1;138613;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Certificado de Recebíveis do Agronegócio;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2022-06-15;;Básico;2022-06-15;
00.249.786/0001-85;2024-01-01;1;135942;FORPART S.A. - EM LIQUIDAÇÃO;Ações Ordinárias;;;NÃO HÁ;;Balcão Não-Organizado;;;;;;1995-02-21;2012-12-27
00.272.185/0001-93;2024-01-01;1;137632;CIMS S.A.;Ações Ordinárias;;;CMFA3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1995-03-14;;Básico;1995-03-14;
